Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
104,2,316.19015330188677,186594.6075784935,431.965979654062,0.1587766221552116,112.32632211538461,-0.028586654442655256
11,2,356.11542931674506,237263.65659722724,487.0971736699231,0.690724386465406,176.09721778108698,-0.004034014922857005
185,1,128.93644831730768,35513.88098614033,188.45126952647553,-0.009116595098973779,49.823072554783536,-0.03125202867731502
32X,2,382.5636574074074,296551.65049913194,544.5655612496369,0.158130739510014,124.38991182572614,-0.00993825058347316
38D,1,408.665,247278.749375,497.271303590907,-0.03280513337404223,107.41061373873873,-0.0033239242198161737
39A,1,433.197113197233,309229.7380444833,556.084290413318,0.6317623580852002,258.2906243326322,-0.009591563161173
68A,2,351.41484375,202455.63806152344,449.9507062573893,0.41829975023763766,117.72294870497775,0.009742079735154013
68,2,295.62404580152673,196319.51555790793,443.0795815177088,0.45161178457224804,109.8764331210191,-0.009485705110986679
236,2,202.34906914893617,122339.13906665558,349.7701231761449,0.3287482214230416,73.70401362559242,-0.02120432960990669
42D,1,288.64338235294116,239583.4315257353,489.4726054905783,0.2435512027599228,100.35430743243244,-0.0018732726530919068
67,2,325.8763156657405,198040.81228482336,445.0177662575095,0.5246332721753859,128.32607839225847,-0.01634696547488477
239,2,422.5110946745562,358045.72171435837,598.369218555198,0.27221540090801966,153.94498109174614,-0.031181330729131797
75,1,441.99240027947155,416403.02683386335,645.2929775178584,0.4614131883617606,173.7843226088545,-0.009097379246473823
16,2,461.81900829987234,360122.9472880118,600.1024473271308,0.5232696777230705,249.70244762225877,-0.00951349647180355
116,2,744.21875,843902.7750651041,918.641809991851,-0.005089410539772077,237.23958333333334,-0.037636256034364414
70D,1,340.28472222222223,202346.82693142362,449.8297755056057,-0.3412272975558941,129.69048566878982,-0.04304672239620359
11,1,556.2563384311942,744391.9437810428,862.7815156695482,0.42557777589342605,265.529707640923,-0.01802449251230903
111,1,205.31933333333333,120817.98092708334,347.58881012927236,0.5852504638364976,74.47874629080118,-0.011279042845718876
