Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MPE
46E,2,603.0453074433657,563710.1715210356,750.8063475497764,-0.4875973184825504,0.20747626665857705
56A,1,506.130496742671,449484.52748371335,670.4360726301303,0.07060228633576882,0.00042083655990592724
33E,1,1046.625,1289152.75,1135.4086268828505,-5.654417695737285,0.1650902675169084
4,1,556.7267645003494,1313161.3724668063,1145.9325339943912,-0.7265566455908359,nan
26,2,433.150068212824,338713.4321964529,581.9909210601596,-0.27122543289995504,0.050127228611917145
33,2,808.4922279792746,1120260.4507772021,1058.4235686988466,-0.18687738239602458,nan
33B,2,466.65051221434203,481634.621749409,693.9990070233595,-0.5132287819945194,0.17302610670876906
142,2,539.017877094972,502791.8715083799,709.0781843410357,-0.4785991023647409,-0.016293766580249006
42,2,375.838006990165,284598.9244086808,533.4781386417636,0.2606087770245531,0.013630454151348672
145,1,510.6057959507741,444752.9139990617,666.8979787036858,0.2842769103991897,0.0061221077988463
150,1,288.7020044253547,161782.51574905636,402.2219732300268,0.18099690329314921,-0.027189808035616846
25B,1,386.5021551724138,266435.02601600986,516.1734456711328,0.2324705371750081,0.028818794555540973
220,2,563.8346228239845,601070.8887814314,775.2876168116136,-0.2917994156605166,0.03387802474045699
79,1,250.6210326039955,145251.95909366081,381.1193501957895,0.2637056608234897,0.009757062772431331
29A,1,272.6475078910666,129305.20759010497,359.5903330042466,0.39912061701778623,-0.011848654357766983
45A,2,406.31211498973306,301974.89229046105,549.5224220088395,0.38858016999445144,0.03141714892194005
15D,1,476.035175879397,374439.47236180905,611.9145956437133,-0.12187239807769812,-0.06584702472432663
84X,2,631.0182529335071,688854.705345502,829.9727136150333,-0.00778704189804702,0.0016109277322494207
15,1,871.747578778287,1136703.393159163,1066.162929931051,-0.255302262888651,0.04816350976731412
31D,1,324.74863387978144,180958.50819672132,425.3921816356306,-0.7150218119984515,-0.033038724118711824
41X,2,615.5609243697479,690475.0777310925,830.9483002757106,-1.0006616669181518,0.10916608649495874
77A,1,569.3919420094403,605126.2803438975,777.8986311492632,0.3257392523013325,-0.05006169638422604
76,2,314.01294466403164,177482.5682806324,421.28680050605954,0.3985501615556062,0.006249602651647704
63,2,405.47231512448906,338992.452991453,582.2305840399085,-0.2508548198952385,-0.016385399088993835
220,1,455.2094411285947,357169.06077048293,597.6362277928631,0.18165696949398746,-0.015594171856033382
79,2,384.23408584439494,278435.15066369536,527.6695468412929,-0.13284384021461682,0.053636985168689956
29A,2,280.0133114629992,146327.7147814018,382.52805750872943,0.4299394965627128,-0.028581194024021574
45A,1,341.3194800752523,202694.6107405507,450.2161822286608,0.4347855667380398,-0.015738289832041338
15D,2,588.2384615384616,542030.3153846153,736.2270813985419,-0.2087417837320209,-0.018591964705014362
84X,1,590.8577235772358,573677.256097561,757.4148507241993,-0.18931151139240643,-0.014656270076094938
15,2,598.196087456847,626743.1923283468,791.6711390017617,0.13733264521468824,-0.012599632076891161
31D,2,447.7837837837838,309926.1081081081,556.710075450506,-0.13895424008368118,-0.039434652826309056
41X,1,610.9278350515464,569981.6701030928,754.971304158703,-1.0261363250911097,0.08938911612164202
77A,2,519.5464195183777,455313.97417617234,674.769571169427,0.3250863081005436,nan
76,1,537.2351768377254,486102.6219660194,697.2106008703679,0.02565224120883236,0.07090674734138055
63,1,433.6058707714337,336998.67871845356,580.5158729254986,-0.2542324173417563,-0.005855618754530269
13,1,584.3568982880162,570737.0843907351,755.4714318825928,0.21038305951816028,0.03481673224908784
31B,1,370.3628447024673,243839.091436865,493.80065961566413,-0.32576695262482036,0.03432813058944036
114,2,275.83910482921084,152844.028975265,390.9527196161513,0.28271403121895333,-0.04337690229411915
14,2,477.0917128987517,398669.7216250578,631.4029787901367,0.3897812742634046,-0.02928131233455634
66A,1,466.8070588235294,453726.16907563026,673.591990061959,0.05322926003744188,0.10964399659742909
27B,2,283.11809685641464,161516.95327102803,401.89171834093327,0.3788700783232378,0.0037181403430336935
70,2,602.8431408606106,701120.6724898859,837.3294886064183,0.0734462050543715,0.004724279828856773
65,2,1046.232968881413,2280413.718250631,1510.103876642475,-0.2067215111480829,0.09264299700973379
25X,1,574.2515527950311,553188.5186335404,743.7664409164616,-0.437591071604573,0.08465359570184437
44B,2,233.9807868252516,106953.4153705398,327.03733024005044,-0.20899603847655523,0.03464162988203546
15B,1,516.5133007931665,490503.92623550945,700.3598548143015,0.07200461992792995,0.02986228041742226
33X,2,763.1142857142858,867707.3142857143,931.5080860012512,-1.814117921281849,nan
54A,2,593.7036020992366,611095.9724475191,781.7262771888375,-0.1254720708667445,0.014173094628898745
38A,1,560.4360083923419,576546.6227380015,759.3066723913346,0.20658422731995574,0.03557158115265682
13,2,581.3898183898184,570001.7704847705,754.9846160583476,0.27915667117941256,0.0043793525802832325
31B,2,494.8279132791328,466187.6246612466,682.7793381915175,-0.7588416827941431,-0.04031441408096307
14,1,511.0325760580137,484583.4867146337,696.1203105172508,0.3479279528821413,0.004504562776686903
114,1,283.88790322580644,161253.51451612904,401.5638361657198,0.10200868821697817,nan
66A,2,542.407937806874,606820.3989361703,778.9867771253696,-0.15731765212494508,0.16036841905454924
27B,1,310.73838737949166,183426.46735319894,428.28316258428714,0.27276660872704295,0.009762770593734931
70,1,653.8628164317114,721396.27300288,849.3505006785362,0.11367761629645845,0.002376564414630933
65,1,474.6279362416107,551829.1891778524,742.8520641270726,0.4028573891465509,0.0317872555517606
25X,2,454.35172413793106,323655.53793103446,568.9073192805964,-0.4970802549263711,0.025516110319607165
44B,1,276.051993067591,157916.48180242634,397.387067985895,-0.1703671229558863,-0.0537405371783392
15B,2,480.4549464398236,419413.72353497165,647.6215897690346,0.35602304234626514,0.007225888542876857
33X,1,592.1408934707904,540035.030927835,734.8707579757375,-1.6571824445885586,-0.015026843363210588
54A,1,369.3059468760082,276184.97623400367,525.5330400973888,0.31687626897044185,-0.05840400627971922
38A,2,669.2504274832893,838219.0965334992,915.5430609935828,-0.06246236067700672,0.08582695332190599
67,1,463.84589780496583,385195.2240913998,620.6409784177965,0.3108328679838339,-0.012079431346601438
239,1,771.1712887438825,861171.2169657423,927.9931125637422,-0.8793302977614408,0.13629094909747355
51X,2,482.9214659685864,379293.05759162304,615.8677273502997,-0.6179742279557612,-0.03153359752786887
75,2,606.8718599340269,634485.2220248667,796.5458066080486,0.2145826783204453,0.0008919208833338365
116,1,590.9669421487604,520523.29752066114,721.4730053998286,-0.3504006314334793,-0.22634974774266645
16,1,531.9762299613046,490529.02248019166,700.3777712636172,0.45466475470432666,nan
70D,2,258.5,108681.67777777778,329.6690427956161,0.1271413938526319,-0.05214940084725344
111,2,618.4037049982524,630065.9814750088,793.7669566535311,-1.1614978137066756,0.08833062863830722
104,2,330.9159848961611,234659.445248584,484.4166029860909,-0.005938865837933571,nan
11,2,511.9130866839933,486255.7054731692,697.3203750595341,0.3597337670053904,-0.026834489195971797
185,1,175.06541606541606,79770.86916786917,282.4373721161369,-0.3351957680686344,0.010105291661582088
32X,2,456.3320895522388,340257.37686567166,583.3158465751395,-0.2748706206821918,0.12408956562303246
38D,1,800.1821862348178,814579.3643724696,902.5405056685653,-4.338249420248941,0.18192289731173208
39A,1,759.2900522121462,867884.2939910232,931.6030774911724,-0.011929735893916105,0.05158508309904868
68A,2,430.0127226463104,332774.4300254453,576.8660416643064,-0.13960925581277417,0.07998600310836025
68,2,459.7661444401987,367458.02521971724,606.1831614452163,-0.1569161935233605,-0.002397205522027176
236,2,494.90618336886996,377357.89552238805,614.2946325033192,-1.8651345481746326,0.10999653632968616
42D,1,444.3030303030303,347292.6303030303,589.3153911981515,-1.1617826102210063,-0.048765194573886915
67,2,532.1101984211649,477859.6670578195,691.2739450158812,-0.008576750085645068,0.04933050639543679
239,2,724.773305711749,871589.0284107724,933.5893253517696,-0.9098936635668171,0.12685047008713482
75,1,570.4778761061947,640968.4504119621,800.6050527019937,0.1679597835265948,nan
16,2,583.9807337699498,567184.4404527246,753.116485314672,0.24590133682595416,0.00760148820382745
116,2,823.7142857142857,925708.8571428572,962.137649789705,-0.5575037344789422,0.15843038706941823
70D,1,451.86285714285714,375025.7942857143,612.3934962797322,-0.9018223109943957,-0.052933097439572724
11,1,1607.3370275873067,3345022.2196619357,1828.9401902910702,-1.6201441708706659,0.21225769096595096
111,1,294.16421895861146,167919.96822429905,409.7803902388437,0.3007675051877884,-0.012009780447406939
104,1,275.67849829351536,151556.11399317405,389.3020857806622,0.28125323538170566,0.0027408706471369836
185,2,158.4247434435576,71747.07183580387,267.8564388544802,-0.0021981626199629734,0.05862778596222855
32X,1,421.5024752475247,285361.07178217825,534.191980267561,-0.3231625511062701,0.05238483057644386
38D,2,370.4,184738.66666666666,429.81236216128855,-2.2636376602313266,-0.17244835451908386
39A,2,528.8725797380895,456089.22334699123,675.3437816008905,0.22636150173422898,0.007923067389204314
68A,1,526.5623409669212,423195.6768447837,650.5349159305623,-1.5970211567033457,0.18464419636657986
68,1,505.6821259309411,433918.653689912,658.7250213024491,0.14373116845406297,0.010675545881625033
236,1,609.7094801223242,445059.8287461774,667.1280452403252,-6.134739924851458,0.1942825282847217
42D,2,277.77777777777777,98613.77777777778,314.028307287381,-0.44961308400360056,nan
83,1,534.0915823956701,516755.95200113946,718.857393368907,0.38070000695928674,-0.011511979220542087
79A,2,410.6606949621258,296531.48310688953,544.5470439795716,-0.14123630929297426,0.03269390598983142
