Route,MAE,HS,A,L,MX
7A_2,398.0269893355808,150,0.6,0.03,300
51D_2,426.912460789276,30,0.8,0.02,700
40B_2,245.51722704081027,75,0.8,0.03,300
59_1,102.47327681696068,30,0.8,0.01,700
32_1,238.15499177866013,75,0.8,0.03,300
151_2,282.98480194910286,75,0.8,0.01,700
44_2,388.40241563897575,150,0.5,0.03,300
43_1,274.8305770996401,75,0.8,0.01,700
59_2,121.13450450366678,75,0.5,0.02,300
41C_2,312.65495661247814,75,0.8,0.02,300
270_1,199.07119607626174,150,0.8,0.02,300
7B_1,272.6327409638432,75,0.5,0.02,700
56A_2,248.33050167644777,30,0.6,0.03,300
26_1,234.71783665369827,75,0.5,0.01,300
4_2,373.62361747320864,150,0.6,0.02,300
33B_1,171.48866428716366,150,0.5,0.03,300
53_2,131.29080704445525,137,0.8756,0.01393,3234
66X_2,364.3721546761504,5,0.82,0.00655,9114
53_1,531.4127870521899,10,0.87615,0.04179,3234
33D_1,456.7333740489242,10,0.40879575000000007,0.013790700000000001,9114
41B_1,358.30327517955806,7,0.9547499999999999,0.00295515,11615
7D_1,214.62335925447533,45,0.8118,0.03838,3267
39X_1,352.24712594575334,35,0.9452024999999998,0.009850500000000002,3234
41B_2,301.9971273849604,80,0.8,0.005,3234
7D_2,365.71452422991376,13,0.7738115000000001,0.00304515,10711
27X_2,362.761081449308,45,0.909,0.022,3234
84X_2,417.9598963859089,130,0.8068500000000001,0.035350000000000006,3234
84X_1,542.6232623711157,15,0.7546769999999999,0.02512375,3234
41X_1,586.3021759556973,7,1.040502,0.0023265,11761
25X_1,489.9757539174804,77,0.3755684999999999,0.042420000000000006,3234
38D_2,180.03438581064754,35,0.9,0.005,11271
53_2,131.49690883208328,137,0.88,0.014,3300
16C_2,188.650584074874,70,0.87,0.033,3300
66X_2,364.3721546761504,5,0.82,0.00655,9300
53_1,531.6373818112196,10,0.885,0.042,3300
33D_1,458.4230642971029,10,0.41500000000000004,0.014,9300
41B_1,359.5806581753582,7,0.95,0.003,11500
7D_1,216.98415396716092,45,0.82,0.038,3300
39X_1,357.11668163248396,35,0.95,0.01,3300
41B_2,301.9971273849604,80,0.8,0.005,3300
7D_2,373.9121112413097,15,0.77,0.003,10500
27X_2,366.06963141498414,45,0.9,0.022,3300
84X_2,418.6240637205664,130,0.8150000000000001,0.035,3300
84X_1,543.2548569544188,15,0.77,0.025,3300
41X_1,588.5308556094028,7,1.02,0.00235,12000
25X_1,492.2099742456783,77,0.37,0.042,3300
33X_1,230.23456379153384,15,0.41500000000000004,0.00455,9300
38D_2,180.03438581064754,35,0.9,0.005,11500
53_2,131.29080704445525,137,0.8756,0.01393,3267
16C_2,185.6754764516913,75,0.9207000000000001,0.037185,3267
66X_2,364.3721546761504,5,0.82,0.00655,9207
53_1,531.4127870521899,10,0.87615,0.04179,3267
33D_1,456.81143710128447,10,0.41085000000000005,0.01386,9207
41B_1,359.0679267280671,7,0.9547499999999999,0.0029850000000000002,11615
39X_1,354.1755412777177,37,0.9547499999999999,0.0099,3267
41B_2,301.9971273849604,80,0.8,0.005,3267
7D_2,368.8882934829196,13,0.7777000000000001,0.00303,10605
27X_2,362.761081449308,45,0.909,0.022,3267
84X_2,417.9598963859089,130,0.8068500000000001,0.035350000000000006,3267
84X_1,543.2526358735,15,0.7623,0.02525,3267
41X_1,586.9846346856751,7,1.0302,0.0023265,11880
25X_1,490.00658966486395,77,0.3737,0.042420000000000006,3267
33X_1,210.1519761133057,16,0.41915,0.0045727499999999996,9207
38D_2,180.03438581064754,35,0.9,0.005,11385
31D_1,247.8919358113251,250,0.5,0.02,700
68_2,310.75600606141734,150,0.5,0.025,700
